pseudobulkTestisGerm	meanTime	GCperc	phasedFracPatBinVal	totalLen	pat_totMuts	all_totMuts
3.58020540929399	1.12405385026898	0.662985104873847	0.309752009283535	19738	1	4
5.27479030501953	1.0823237458194	0.596164091635589	0.288153882242552	15016	1	12
2.1545036103874	1.04897993311037	0.676653931228635	0.321938032855063	4973	2	5
0.329179089607994	1.03912520931068	0.62647905340582	0.33898930284028	9381	2	3
1.6480321492895	1.01963991081382	0.657331430610061	0.330617816724647	5606	2	3
3.42953595458571	0.987782608695652	0.74318744838976	0.309752009283535	1211	0	0
2.39412253819039	0.968130434782609	0.565393258426966	0.321938032855063	13350	1	2
2.24322062463544	0.946225252872904	0.658466689365566	0.321938032855063	35244	1	12
4.81064102907054	0.955445425216916	0.547721962616822	0.288153882242552	34240	1	4
6.72709845789931	1.0935120593692	0.547570385818561	0.292398101408875	23975	2	7
0.120102835052492	1.1511037414966	0.706321022727273	0.33898930284028	2816	1	1
5.7664341584462	1.17542910325642	0.613957187355027	0.294907431688257	15089	0	1
7.4491606635251	1.26832846540209	0.5632149307646	0.292398101408875	19932	1	4
2.25800650251194	1.32197448979592	0.65465314727437	0.321938032855063	9961	1	6
3.07736649225519	1.3574642665292	0.672593209252542	0.304791319543219	16817	2	5
3.89592784458325	1.37419833504178	0.66601752677702	0.309752009283535	3081	0	1
5.33286580179684	1.40385260770975	0.652499396281092	0.288153882242552	4141	0	0
3.08863738455501	1.42330184877461	0.663575877689694	0.304791319543219	14128	1	2
1.99742614572604	1.43963925180018	0.664709203839639	0.321938032855063	8855	1	3
9.43958031498941	1.45339455782313	0.668470906630582	0.292398101408875	1478	0	0
4.6902121986445	1.46214636104726	0.513626680379049	0.306039306979451	13613	1	2
6.65226104780955	1.46609523809524	0.530274888558692	0.292398101408875	5384	0	1
0.298249787848015	1.46963265306122	0.665670749925306	0.33898930284028	3347	0	0
1.10666054238431	1.47050136983121	0.66354556803995	0.320913728099357	8010	0	2
0.915897523315446	1.46995918367347	0.569850965062301	0.320913728099357	20465	0	6
3.6061726467536	1.45738310580204	0.599063753901025	0.309752009283535	22430	1	3
0.262721129595569	1.45548449943117	0.6726893676164	0.33898930284028	5756	0	2
7.52465628655298	1.45354798945386	0.539460569633634	0.292398101408875	33109	1	7
5.75116613825147	1.45083675799087	0.66527529318227	0.294907431688257	15093	2	9
6.75360275239024	1.45312328767123	0.513017804419791	0.292398101408875	22354	1	3
2.97630924553077	1.45690165878171	0.536838173498926	0.304791319543219	32127	1	4
4.01679006166586	1.49022026441289	0.537251542152159	0.309752009283535	29180	1	6
5.45014357113806	1.5199890879087	0.467241020597303	0.288153882242552	105742	7	24
0.0169211098979512	1.53782876712329	0.631868131868132	0.33898930284028	2184	0	0
4.27602849692762	1.53853765946429	0.67396449704142	0.306039306979451	1690	0	0
3.65825732627123	1.54527948964015	0.557054851174677	0.309752009283535	81001	5	17
2.26885992585157	1.55004553853034	0.625109361329834	0.321938032855063	11430	3	7
6.80075162141383	1.54061669781688	0.563982366351133	0.292398101408875	132474	8	31
6.39534871626738	1.51344573820396	0.610157367668097	0.294907431688257	27960	0	7
2.83208289522111	1.40251525799508	0.574950690335306	0.304791319543219	80106	9	30
4.01122626477882	1.21824532154398	0.573219081724006	0.309752009283535	70371	5	18
7.91922370411334	1.09002348993289	0.540175256200802	0.292398101408875	13466	1	1
5.26561311236423	1.05377382550336	0.615173395708329	0.288153882242552	9833	0	1
0.270333041354704	0.842451631566767	0.647292126004207	0.33898930284028	78918	6	22
2.29144805068566	0.598117929050815	0.608048021342819	0.321938032855063	17992	1	3
0.199331039460717	0.543001677852349	0.684660961158657	0.33898930284028	1519	0	0
0.419888258292185	0.421717281879195	0.64059934318555	0.33898930284028	9744	2	5
4.92799730604577	0.248186596924145	0.548660151698885	0.288153882242552	42057	1	4
3.07926447387391	-0.398584352849694	0.592829450554599	0.304791319543219	85377	1	9
8.95993057966208	-1.29641137123746	0.616562282533055	0.292398101408875	1437	0	0
0.794687187724508	-0.701093943167339	0.575611671237956	0.320913728099357	366782	31	107
1.23632910202257	0.400651968098791	0.630913968044163	0.320913728099357	25723	0	5
0.593860893438554	0.730677788981514	0.623921014593354	0.320913728099357	122453	10	40
2.95872216591592	0.920209166666667	0.521107402316906	0.304791319543219	5093	0	1
4.28189189882214	0.952238888888889	0.545902562658406	0.306039306979451	21306	0	6
2.44876134301353	1.03238474822449	0.595130595203418	0.321938032855063	82392	8	19
4.33921346658502	1.0669062962963	0.532451541150302	0.306039306979451	25176	3	7
3.79749121435233	1.06504166666666	0.650587507730365	0.309752009283535	3234	0	0
4.05355347041765	1.05918622710623	0.547138234965971	0.309752009283535	17926	2	7
5.44301821250019	1.01462111111111	0.479711751662971	0.288153882242552	45100	1	6
1.26761124820992	0.941197898043985	0.51622503496002	0.330617816724647	27889	0	3
5.31480385137816	0.875035434782609	0.483608880491261	0.288153882242552	10585	1	1
